Time,Temp_C,Vib_Mag_g,X_g,Y_g,Z_g,Sound_dBr
13:13:03,27.375,1.0526890789188421,-0.078125,-0.265625,1.015625,-90
13:13:05,27.375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:13:08,27.375,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:13:10,27.375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-16.434526764861875
13:13:12,27.375,1.0506432878762302,-0.07421875,-0.2734375,1.01171875,-90
13:13:14,27.375,1.06919992357019,-0.0703125,-0.2734375,1.03125,-19.494460916817186
13:13:17,27.375,1.0546875,-0.078125,-0.2734375,1.015625,-19.494460916817186
13:13:19,27.375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:13:21,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-19.494460916817186
13:13:23,27.375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:13:26,27.375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-90
13:13:28,27.3125,1.053978349553787,-0.08203125,-0.26953125,1.015625,-90
13:13:30,27.375,1.056176610801018,-0.07421875,-0.265625,1.01953125,-90
13:13:32,27.375,1.0524063873340765,-0.07421875,-0.265625,1.015625,-90
13:13:35,27.375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:13:37,27.375,1.0694639085812165,-0.07421875,-0.2734375,1.03125,-16.534368973927883
13:13:39,27.375,1.0577429699268568,-0.08203125,-0.26953125,1.01953125,-90
13:13:41,27.375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:13:43,27.375,1.0554250893079171,-0.07421875,-0.27734375,1.015625,-90
13:13:46,27.375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:13:48,27.375,1.068471843371703,-0.07421875,-0.26953125,1.03125,-90
13:13:50,27.375,1.0568987236766705,-0.0703125,-0.26953125,1.01953125,-90
13:13:52,27.375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-14.82425163866382
13:13:55,27.375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:13:57,27.3125,1.0531310853867208,-0.0703125,-0.26953125,1.015625,-90
13:13:59,27.375,1.0554829176510272,-0.078125,-0.26171875,1.01953125,-19.445400539936692
13:14:01,27.3125,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-19.494460916817186
13:14:04,27.375,1.0531310853867208,-0.0703125,-0.26953125,1.015625,-90
13:14:06,27.375,1.0506432878762302,-0.07421875,-0.2734375,1.01171875,-19.494460916817186
13:14:08,27.375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-90
13:14:10,27.375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:14:13,27.375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-16.48589583858963
13:14:15,27.3125,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:14:17,27.375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-90
13:14:19,27.375,1.049916872639508,-0.078125,-0.26953125,1.01171875,-19.494460916817186
13:14:22,27.375,1.0546875,-0.078125,-0.2734375,1.015625,-19.494460916817186
13:14:24,27.4375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:14:26,27.4375,1.0496334344330345,-0.07421875,-0.26953125,1.01171875,-90
13:14:28,27.4375,1.0493644607496364,-0.0703125,-0.26953125,1.01171875,-19.494460916817186
13:14:31,27.4375,1.0542895661334284,-0.0859375,-0.26953125,1.015625,-90
13:14:33,27.375,1.0506432878762302,-0.07421875,-0.2734375,1.01171875,-90
13:14:35,27.4375,1.064702164101392,-0.07421875,-0.26953125,1.02734375,-90
13:14:37,27.375,1.0639996883994198,-0.078125,-0.265625,1.02734375,-90
13:14:39,27.4375,1.0609334729305013,-0.07421875,-0.26953125,1.0234375,-19.445400539936692
13:14:42,27.4375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-90
13:14:44,27.375,1.0502147636577424,-0.08203125,-0.26953125,1.01171875,-90
13:14:46,27.375,1.0561910578968419,-0.0703125,-0.28125,1.015625,-90
13:14:48,27.375,1.0602285002093887,-0.078125,-0.265625,1.0234375,-90
13:14:51,27.375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:14:53,27.4375,1.0502147636577424,-0.08203125,-0.26953125,1.01171875,-90
13:14:55,27.375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:14:57,27.4375,1.0546875,-0.078125,-0.2734375,1.015625,-90
13:15:00,27.4375,1.0659769053292443,-0.078125,-0.2734375,1.02734375,-90
